datetime,feed_flow,product_flow,reject_flow,temperature,feed_cond,reject_cond,product_cond,feed_ph,orp,reject_ph,product_ph,pressure_drop,feed_pressure,hpp_pressure,cf_pressure
Mon Apr 01 2019 00:00:00 GMT+0530,230,80.28,147,26.06,62448,87272,563,7.65,-11.99,7.76,6.58,0.98,61.75,31.95,2.96
Mon Apr 01 2019 01:00:00 GMT+0530,230,80.68,145,26.07,62350,87253,555,7.66,-12.04,7.77,6.58,0.98,62.63,31.95,2.97
Mon Apr 01 2019 02:00:00 GMT+0530,230,80.68,145,26.07,62350,87253,555,7.66,-12.04,7.77,6.58,0.98,62.63,31.95,2.97
Mon Apr 01 2019 03:00:00 GMT+0530,230,80.31,146,26.17,62428,87345,551,7.65,-12.9,7.78,6.55,0.98,61.65,31.93,2.98
Mon Apr 01 2019 04:00:00 GMT+0530,230,80.31,146,26.17,62428,87345,551,7.65,-12.9,7.78,6.55,0.98,61.65,31.93,2.98
Mon Apr 01 2019 05:00:00 GMT+0530,230,79.98,148,26.21,62513,87375,553,7.66,-12.35,7.78,6.55,0.98,61.68,31.9,2.98
Mon Apr 01 2019 06:00:00 GMT+0530,230,79.98,148,26.21,62513,87375,553,7.66,-12.35,7.78,6.55,0.98,61.68,31.9,2.98
Mon Apr 01 2019 07:00:00 GMT+0530,230,79.51,151,25.86,62902,87628,590,7.62,-9.72,7.73,6.45,0.98,61.94,31.93,2.92
Mon Apr 01 2019 08:00:00 GMT+0530,230,79.51,151,25.86,62902,87628,590,7.62,-9.72,7.73,6.45,0.98,61.94,31.93,2.92
Mon Apr 01 2019 09:00:00 GMT+0530,230,79.69,147,25.86,62882,87618,592,7.6,-9.77,7.74,6.47,0.97,61.92,31.96,2.98
Mon Apr 01 2019 10:00:00 GMT+0530,230,79.69,147,25.86,62882,87618,592,7.6,-9.77,7.74,6.47,0.97,61.92,31.96,2.98
Mon Apr 01 2019 11:00:00 GMT+0530,231,79.66,153,25.95,62912,87618,609,7.61,-8.9,7.72,6.44,0.98,61.99,31.91,2.94
Mon Apr 01 2019 12:00:00 GMT+0530,231,79.66,153,25.95,62912,87618,609,7.61,-8.9,7.72,6.44,0.98,61.99,31.91,2.94
Mon Apr 01 2019 13:00:00 GMT+0530,230,79.11,146,26.13,62895,87662,619,7.62,-8.68,7.72,6.44,0.97,61.87,31.93,2.96
Mon Apr 01 2019 14:00:00 GMT+0530,230,79.11,146,26.13,62895,87662,619,7.62,-8.68,7.72,6.44,0.97,61.87,31.93,2.96
Mon Apr 01 2019 15:00:00 GMT+0530,230,79.37,148,26.24,62837,87637,622,7.62,-8.54,7.72,6.44,0.97,61.88,31.94,2.95
Mon Apr 01 2019 16:00:00 GMT+0530,230,79.37,148,26.24,62837,87637,622,7.62,-8.54,7.72,6.44,0.97,61.88,31.94,2.95
Mon Apr 01 2019 17:00:00 GMT+0530,230,79.89,148,26.39,62814,87647,620,7.63,-8.81,7.72,6.46,0.97,61.84,31.93,2.95
Mon Apr 01 2019 18:00:00 GMT+0530,230,79.89,148,26.39,62814,87647,620,7.63,-8.81,7.72,6.46,0.97,61.84,31.93,2.95
Mon Apr 01 2019 19:00:00 GMT+0530,230,79.76,148,26.37,62788,87628,614,7.63,-9.67,7.73,6.5,0.97,61.87,31.9,2.98
Mon Apr 01 2019 20:00:00 GMT+0530,230,79.76,148,26.37,62788,87628,614,7.63,-9.67,7.73,6.5,0.97,61.87,31.9,2.98
Mon Apr 01 2019 21:00:00 GMT+0530,230,79.84,148,26.31,62652,87399,584,7.65,-10.26,7.75,6.51,0.98,61.8,31.96,2.98
Mon Apr 01 2019 22:00:00 GMT+0530,230,79.84,148,26.31,62652,87399,584,7.65,-10.26,7.75,6.51,0.98,61.8,31.96,2.98
Mon Apr 01 2019 23:00:00 GMT+0530,230,80.28,147,26.06,62448,87272,563,7.65,-11.99,7.76,6.58,0.98,61.75,31.95,2.96
Tue Apr 02 2019 00:00:00 GMT+0530,230,80.28,147,26.06,62448,87272,563,7.65,-11.99,7.76,6.58,0.98,61.75,31.95,2.96
Tue Apr 02 2019 01:00:00 GMT+0530,230,80.68,145,26.07,62350,87253,555,7.66,-12.04,7.77,6.58,0.98,62.63,31.95,2.97
Tue Apr 02 2019 02:00:00 GMT+0530,230,80.68,145,26.07,62350,87253,555,7.66,-12.04,7.77,6.58,0.98,62.63,31.95,2.97
Tue Apr 02 2019 03:00:00 GMT+0530,230,80.31,146,26.17,62428,87345,551,7.65,-12.9,7.78,6.55,0.98,61.65,31.93,2.98
Tue Apr 02 2019 04:00:00 GMT+0530,230,80.31,146,26.17,62428,87345,551,7.65,-12.9,7.78,6.55,0.98,61.65,31.93,2.98
Tue Apr 02 2019 05:00:00 GMT+0530,230,79.98,148,26.21,62513,87375,553,7.66,-12.35,7.78,6.55,0.98,61.68,31.9,2.98
